thread_id, Start_time, End_time, Real_time, User_time, System_time, Elapsed_time,Latency,Turnarount Time,Throughput,CPU Utilization,Fairness
0,1718653336,1718655648,23.12,22.71,0.01,,0.41,23.12,,98.26989619,
1,1718653336,1718655650,23.14,22.73,0.01,,0.41,23.14,,98.27139153,
2,1718653336,1718655654,23.18,22.79,0.01,,0.39,23.18,,98.36065574,
3,1718653335,1718655652,23.17,22.77,0.01,,0.4,23.17,,98.31678895,
4,1718653334,1718655652,23.18,22.77,0.01,,0.41,23.18,,98.27437446,
5,1718653334,1718655652,23.18,22.78,0.01,,0.4,23.18,,98.3175151,
6,1718653333,1718655643,23.1,22.7,0.01,,0.4,23.1,,98.31168831,
7,1718653333,1718655644,23.11,22.71,0.01,,0.4,23.11,,98.31241887,
8,1718653333,1718655647,23.14,22.74,0.01,,0.4,23.14,,98.31460674,
9,1718653334,1718655654,23.2,22.81,0.01,,0.39,23.2,,98.36206897,
Result,1718653333,1718655654,23.152,22.751,0.01,23.21,0.401,23.152,2.321,98.31114049,0.032802439
